reference	start	end	pvalue
chr2:198257160-198257720	1	139	-8.89321883218
chr2:198257160-198257720	143	286	-9.21311879017
chr2:198257160-198257720	288	303	-1.02367986557
chr2:198257160-198257720	305	321	-1.08765985717
chr2:198257160-198257720	323	332	-0.639799915984
chr2:198257160-198257720	334	340	-0.447859941189
chr2:198257160-198257720	345	353	-0.575819924386
chr2:198257160-198257720	355	375	-1.34357982357
chr2:198257160-198257720	377	409	-2.11133972275
chr2:198257160-198257720	411	414	-0.255919966394
chr2:198257160-198257720	416	504	-5.69421925226
chr2:198257887-198260804	2	5	-1.53168241631
chr2:198257887-198260804	7	10	-1.53168241631
chr2:198257887-198260804	12	55	-16.8485065795
chr2:198257887-198260804	57	221	-63.1818996729
chr2:198257887-198260804	223	235	-4.97796785302
chr2:198257887-198260804	237	273	-14.1680623509
chr2:198257887-198260804	277	278	-0.765841208157
chr2:198257887-198260804	283	285	-1.14876181224
chr2:198257887-198260804	289	291	-1.14876181224
chr2:198257887-198260804	297	299	-1.14876181224
chr2:198257887-198260804	307	309	-1.14876181224
chr2:198257887-198260804	313	314	-0.765841208157
chr2:198257887-198260804	326	327	-0.765841208157
chr2:198257887-198260804	382	383	-0.765841208157
chr2:198257887-198260804	388	389	-0.765841208157
chr2:198257887-198260804	393	395	-1.14876181224
chr2:198257887-198260804	404	409	-2.29752362447
chr2:198257887-198260804	413	416	-1.53168241631
chr2:198257887-198260804	425	426	-0.765841208157
chr2:198257887-198260804	428	429	-0.765841208157
chr2:198257887-198260804	433	434	-0.765841208157
chr2:198257887-198260804	441	442	-0.765841208157
chr2:198257887-198260804	444	445	-0.765841208157
chr2:198257887-198260804	471	472	-0.765841208157
chr2:198257887-198260804	514	516	-1.14876181224
chr2:198257887-198260804	529	531	-1.14876181224
chr2:198257887-198260804	533	536	-1.53168241631
chr2:198257887-198260804	538	540	-1.14876181224
chr2:198257887-198260804	542	544	-1.14876181224
chr2:198257887-198260804	546	577	-12.2534593305
chr2:198257887-198260804	579	584	-2.29752362447
chr2:198257887-198260804	590	648	-22.5923156406
chr2:198257887-198260804	650	739	-34.4628543671
chr2:198257887-198260804	741	753	-4.97796785302
chr2:198257887-198260804	757	760	-1.53168241631
chr2:198257887-198260804	764	770	-2.68044422855
chr2:198257887-198260804	787	788	-0.765841208157
chr2:198257887-198260804	790	791	-0.765841208157
chr2:198257887-198260804	793	794	-0.765841208157
chr2:198257887-198260804	798	799	-0.765841208157
chr2:198257887-198260804	801	802	-0.765841208157
chr2:198257887-198260804	804	809	-2.29752362447
chr2:198257887-198260804	813	816	-1.53168241631
chr2:198257887-198260804	819	820	-0.765841208157
chr2:198257887-198260804	825	846	-8.42425328973
chr2:198257887-198260804	848	876	-11.1046975183
chr2:198257887-198260804	880	883	-1.53168241631
chr2:198257887-198260804	903	907	-1.91460302039
chr2:198257887-198260804	914	915	-0.765841208157
chr2:198257887-198260804	921	926	-2.29752362447
chr2:198257887-198260804	933	934	-0.765841208157
chr2:198257887-198260804	958	959	-0.765841208157
chr2:198257887-198260804	964	965	-0.765841208157
chr2:198257887-198260804	968	970	-1.14876181224
chr2:198257887-198260804	973	974	-0.765841208157
chr2:198257887-198260804	976	978	-1.14876181224
chr2:198257887-198260804	980	981	-0.765841208157
chr2:198257887-198260804	984	990	-2.68044422855
chr2:198257887-198260804	992	1026	-13.4022211427
