reference	start	end	pvalue
chr2:198257160-198257720	1	78	-3.25463435522
chr2:198257160-198257720	80	155	-3.17118219227
chr2:198257160-198257720	157	229	-3.04600394784
chr2:198257160-198257720	231	320	-3.75534733295
chr2:198257160-198257720	322	334	-0.542439059204
chr2:198257160-198257720	336	363	-1.16833028136
chr2:198257160-198257720	365	374	-0.417260814772
chr2:198257160-198257720	376	380	-0.208630407386
chr2:198257160-198257720	382	387	-0.250356488863
chr2:198257160-198257720	389	411	-0.959699873976
chr2:198257160-198257720	414	446	-1.37696068875
chr2:198257160-198257720	448	461	-0.584165140681
chr2:198257887-198260804	3	6	-0.335939714335
chr2:198257887-198260804	8	35	-2.35157800035
chr2:198257887-198260804	37	72	-3.02345742902
chr2:198257887-198260804	74	85	-1.00781914301
chr2:198257887-198260804	87	244	-13.2696187162
chr2:198257887-198260804	246	291	-3.86330671485
chr2:198257887-198260804	293	295	-0.251954785751
chr2:198257887-198260804	297	301	-0.419924642919
chr2:198257887-198260804	303	304	-0.167969857168
chr2:198257887-198260804	306	309	-0.335939714335
chr2:198257887-198260804	311	317	-0.587894500086
chr2:198257887-198260804	322	327	-0.503909571503
chr2:198257887-198260804	332	333	-0.167969857168
chr2:198257887-198260804	339	340	-0.167969857168
chr2:198257887-198260804	347	349	-0.251954785751
chr2:198257887-198260804	351	355	-0.419924642919
chr2:198257887-198260804	359	360	-0.167969857168
chr2:198257887-198260804	362	367	-0.503909571503
chr2:198257887-198260804	369	373	-0.419924642919
chr2:198257887-198260804	375	376	-0.167969857168
chr2:198257887-198260804	380	383	-0.335939714335
chr2:198257887-198260804	388	398	-0.923834214421
chr2:198257887-198260804	402	411	-0.839849285838
chr2:198257887-198260804	413	420	-0.67187942867
chr2:198257887-198260804	422	426	-0.419924642919
chr2:198257887-198260804	428	429	-0.167969857168
chr2:198257887-198260804	432	436	-0.419924642919
chr2:198257887-198260804	438	452	-1.25977392876
chr2:198257887-198260804	471	475	-0.419924642919
chr2:198257887-198260804	479	481	-0.251954785751
chr2:198257887-198260804	484	490	-0.587894500086
chr2:198257887-198260804	493	494	-0.167969857168
chr2:198257887-198260804	508	510	-0.251954785751
chr2:198257887-198260804	512	519	-0.67187942867
chr2:198257887-198260804	523	530	-0.67187942867
chr2:198257887-198260804	533	577	-3.77932178627
chr2:198257887-198260804	580	583	-0.335939714335
chr2:198257887-198260804	589	751	-13.6895433592
chr2:198257887-198260804	753	755	-0.251954785751
chr2:198257887-198260804	757	761	-0.419924642919
chr2:198257887-198260804	763	774	-1.00781914301
chr2:198257887-198260804	781	783	-0.251954785751
chr2:198257887-198260804	785	794	-0.839849285838
chr2:198257887-198260804	797	809	-1.09180407159
chr2:198257887-198260804	811	812	-0.167969857168
chr2:198257887-198260804	815	816	-0.167969857168
chr2:198257887-198260804	818	840	-1.93165335743
chr2:198257887-198260804	842	885	-3.69533685769
chr2:198257887-198260804	901	910	-0.839849285838
chr2:198257887-198260804	914	927	-1.17578900017
chr2:198257887-198260804	929	934	-0.503909571503
chr2:198257887-198260804	939	942	-0.335939714335
chr2:198257887-198260804	944	945	-0.167969857168
chr2:198257887-198260804	951	952	-0.167969857168
chr2:198257887-198260804	956	960	-0.419924642919
chr2:198257887-198260804	962	966	-0.419924642919
chr2:198257887-198260804	970	973	-0.335939714335
chr2:198257887-198260804	975	978	-0.335939714335
chr2:198257887-198260804	980	981	-0.167969857168
chr2:198257887-198260804	983	986	-0.335939714335
chr2:198257887-198260804	988	996	-0.755864357254
chr2:198257887-198260804	998	1091	-7.89458328687
chr2:198257887-198260804	1093	1203	-9.3223270728
chr2:198257887-198260804	1205	1217	-1.09180407159
chr2:198257887-198260804	1219	1230	-1.00781914301
chr2:198257887-198260804	1232	1267	-3.02345742902
chr2:198257887-198260804	1269	1296	-2.35157800035
chr2:198257887-198260804	1298	1456	-13.3536036448
chr2:198257887-198260804	1458	1460	-0.251954785751
chr2:198257887-198260804	1467	1468	-0.167969857168
chr2:198257887-198260804	1478	1479	-0.167969857168
chr2:198257887-198260804	1485	1490	-0.503909571503
chr2:198257887-198260804	1492	1493	-0.167969857168
chr2:198257887-198260804	1495	1497	-0.251954785751
chr2:198257887-198260804	1499	1505	-0.587894500086
chr2:198257887-198260804	1512	1514	-0.251954785751
chr2:198257887-198260804	1517	1518	-0.167969857168
chr2:198257887-198260804	1522	1523	-0.167969857168
chr2:198257887-198260804	1525	1527	-0.251954785751
chr2:198257887-198260804	1529	1582	-4.53518614352
chr2:198257887-198260804	1584	1587	-0.335939714335
chr2:198257887-198260804	1590	1594	-0.419924642919
chr2:198257887-198260804	1600	1601	-0.167969857168
chr2:198257887-198260804	1603	1604	-0.167969857168
chr2:198257887-198260804	1620	1625	-0.503909571503
chr2:198257887-198260804	1627	1631	-0.419924642919
chr2:198257887-198260804	1636	1661	-2.18360814318
chr2:198257887-198260804	1665	1666	-0.167969857168
chr2:198257887-198260804	1668	2094	-35.8615645053
chr2:198257887-198260804	2096	2128	-2.77150264326
chr2:198257887-198260804	2130	2153	-2.01563828601
chr2:198257887-198260804	2155	2166	-1.00781914301
chr2:198257887-198260804	2168	2171	-0.335939714335
chr2:198257887-198260804	2173	2245	-6.13089978661
chr2:198257887-198260804	2247	2272	-2.18360814318
chr2:198257887-198260804	2274	2326	-4.45120121494
chr2:198257887-198260804	2328	2340	-1.09180407159
chr2:198257887-198260804	2342	2378	-3.1074423576
chr2:198257887-198260804	2380	2410	-2.6035327861
chr2:198257887-198260804	2412	2423	-1.00781914301
chr2:198257887-198260804	2425	2426	-0.167969857168
chr2:198257887-198260804	2428	2463	-3.02345742902
chr2:198257887-198260804	2465	2722	-21.6681115746
chr2:198257887-198260804	2724	2776	-4.45120121494
chr2:198257887-198260804	2778	2832	-4.61917107211
chr2:198261027-198262733	1	927	-11.0853145285
chr2:198261027-198262733	929	984	-0.669663013587
chr2:198261027-198262733	986	1241	-3.06131663354
chr2:198261027-198262733	1243	1281	-0.466372455891
chr2:198261027-198262733	1283	1288	-0.0717496085986
chr2:198261027-198262733	1292	1297	-0.0717496085986
chr2:198261027-198262733	1299	1352	-0.645746477387
chr2:198261027-198262733	1354	1356	-0.0358748042993
chr2:198261027-198262733	1362	1364	-0.0358748042993
chr2:198261027-198262733	1368	1370	-0.0358748042993
chr2:198261027-198262733	1372	1458	-1.04036932468
chr2:198261027-198262733	1461	1463	-0.0358748042993
chr2:198261027-198262733	1465	1508	-0.52616379639
chr2:198262815-198263209	1	37	-0.57299378692
chr2:198262815-198263209	39	164	-1.95127613924
chr2:198262815-198263209	166	262	-1.50217290084
chr2:198263280-198264803	1	79	-2.44956602206
chr2:198263280-198264803	81	141	-1.89143705501
chr2:198263280-198264803	143	193	-1.58136540664
chr2:198263280-198264803	195	322	-3.96891709903
chr2:198263280-198264803	324	414	-2.82165200009
chr2:198263280-198264803	416	421	-0.186042989017
chr2:198263280-198264803	423	427	-0.155035824181
chr2:198263280-198264803	429	436	-0.248057318689
chr2:198263280-198264803	438	504	-2.07748004402
chr2:198263280-198264803	506	510	-0.155035824181
chr2:198263280-198264803	512	513	-0.0620143296723
chr2:198263280-198264803	515	519	-0.155035824181
chr2:198263280-198264803	521	556	-1.1162579341
chr2:198263280-198264803	558	622	-2.01546571435
chr2:198263280-198264803	624	665	-1.30230092312
chr2:198263280-198264803	667	677	-0.341078813198
chr2:198263280-198264803	679	688	-0.310071648362
chr2:198263280-198264803	690	715	-0.80618628574
chr2:198263280-198264803	717	749	-1.02323643959
chr2:198263280-198264803	751	767	-0.527121802215
chr2:198263280-198264803	769	782	-0.434100307706
chr2:198263280-198264803	784	932	-4.62006756059
chr2:198263280-198264803	934	985	-1.61237257148
chr2:198263280-198264803	987	1056	-2.17050153853
chr2:198263280-198264803	1058	1064	-0.217050153853
chr2:198263280-198264803	1066	1109	-1.36431525279
chr2:198263280-198264803	1111	1153	-1.33330808796
chr2:198263280-198264803	1155	1191	-1.14726509894
chr2:198263280-198264803	1193	1228	-1.1162579341
chr2:198263280-198264803	1230	1262	-1.02323643959
chr2:198263280-198264803	1264	1340	-2.38755169238
chr2:198263280-198264803	1342	1346	-0.155035824181
chr2:198263280-198264803	1348	1379	-0.992229274757
chr2:198265133-198265463	1	32	-2.43810448896
chr2:198265133-198265463	34	68	-2.6666767848
chr2:198265133-198265463	70	93	-1.82857836672
chr2:198265133-198265463	95	100	-0.45714459168
chr2:198265133-198265463	102	120	-1.44762454032
chr2:198265133-198265463	122	130	-0.68571688752
chr2:198265133-198265463	132	180	-3.73334749872
chr2:198265133-198265463	182	265	-6.40002428352
chr2:198266829-198267304	2	6	-0.291426441726
chr2:198266829-198267304	8	33	-1.51541749697
chr2:198266829-198267304	35	56	-1.28227634359
chr2:198266829-198267304	60	78	-1.10742047856
chr2:198266829-198267304	80	139	-3.49711730071
chr2:198266829-198267304	141	179	-2.27312624546
chr2:198266829-198267304	181	186	-0.349711730071
chr2:198266829-198267304	188	197	-0.582852883452
chr2:198266829-198267304	199	209	-0.641138171797
chr2:198266829-198267304	211	322	-6.52795229466
chr2:198266829-198267304	324	374	-2.9725497056
chr2:198267734-198268333	1	28	-0.281068946662
chr2:198267734-198268333	30	47	-0.180687179997
chr2:198267734-198268333	49	92	-0.441679773326
chr2:198267734-198268333	94	181	-0.883359546651
chr2:198268463-198269824	1	35	-2.2117759895
chr2:198268463-198269824	37	106	-4.42355197901
chr2:198268463-198269824	108	395	-18.1997567136
chr2:198268463-198269824	397	539	-9.03668475711
chr2:198268463-198269824	541	548	-0.505548797601
chr2:198268463-198269824	550	555	-0.3791615982
chr2:198268463-198269824	557	559	-0.1895807991
chr2:198268463-198269824	566	571	-0.3791615982
chr2:198268463-198269824	573	577	-0.3159679985
chr2:198268463-198269824	579	589	-0.695129596701
chr2:198268463-198269824	592	611	-1.263871994
chr2:198268463-198269824	613	616	-0.2527743988
chr2:198268463-198269824	618	623	-0.3791615982
chr2:198268463-198269824	625	630	-0.3791615982
chr2:198268463-198269824	634	635	-0.1263871994
chr2:198268463-198269824	638	639	-0.1263871994
chr2:198268463-198269824	643	645	-0.1895807991
chr2:198268463-198269824	647	648	-0.1263871994
